STATUS | wrapper  | 2018/08/03 21:32:20 | --> Wrapper Started as Daemon
INFO   | jvm 1    | 2018/08/03 21:32:24 | 2018-08-03 21:32:24.586  INFO 29407 --- [erSimpleAppMain] org.apache.catalina.core.StandardEngine  : Starting Servlet Engine: Apache Tomcat/8.0.32
INFO   | jvm 1    | 2018/08/03 21:32:24 | 2018-08-03 21:32:24.807  INFO 29407 --- [ost-startStop-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
INFO   | jvm 1    | 2018/08/03 21:32:24 | 2018-08-03 21:32:24.807  INFO 29407 --- [ost-startStop-1] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 2272 ms
INFO   | jvm 1    | 2018/08/03 21:32:25 | 2018-08-03 21:32:25.218  INFO 29407 --- [ost-startStop-1] o.s.b.c.e.ServletRegistrationBean        : Mapping servlet: 'dispatcherServlet' to [/]
INFO   | jvm 1    | 2018/08/03 21:32:25 | 2018-08-03 21:32:25.222  INFO 29407 --- [ost-startStop-1] o.s.b.c.embedded.FilterRegistrationBean  : Mapping filter: 'characterEncodingFilter' to: [/*]
INFO   | jvm 1    | 2018/08/03 21:32:25 | 2018-08-03 21:32:25.223  INFO 29407 --- [ost-startStop-1] o.s.b.c.embedded.FilterRegistrationBean  : Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
INFO   | jvm 1    | 2018/08/03 21:32:25 | 2018-08-03 21:32:25.223  INFO 29407 --- [ost-startStop-1] o.s.b.c.embedded.FilterRegistrationBean  : Mapping filter: 'httpPutFormContentFilter' to: [/*]
INFO   | jvm 1    | 2018/08/03 21:32:25 | 2018-08-03 21:32:25.223  INFO 29407 --- [ost-startStop-1] o.s.b.c.embedded.FilterRegistrationBean  : Mapping filter: 'requestContextFilter' to: [/*]
INFO   | jvm 1    | 2018/08/03 21:32:25 | 2018-08-03 21:32:25.621  INFO 29407 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerAdapter : Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5e9f0207: startup date [Fri Aug 03 21:32:22 CST 2018]; root of context hierarchy
INFO   | jvm 1    | 2018/08/03 21:32:25 | 2018-08-03 21:32:25.699  INFO 29407 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/]}" onto java.lang.String com.xinwei.example.Index.instructionPage(org.springframework.ui.ModelMap)
INFO   | jvm 1    | 2018/08/03 21:32:25 | 2018-08-03 21:32:25.701  INFO 29407 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
INFO   | jvm 1    | 2018/08/03 21:32:25 | 2018-08-03 21:32:25.701  INFO 29407 --- [erSimpleAppMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
INFO   | jvm 1    | 2018/08/03 21:32:25 | 2018-08-03 21:32:25.739  INFO 29407 --- [erSimpleAppMain] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
INFO   | jvm 1    | 2018/08/03 21:32:25 | 2018-08-03 21:32:25.739  INFO 29407 --- [erSimpleAppMain] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
INFO   | jvm 1    | 2018/08/03 21:32:25 | 2018-08-03 21:32:25.779  INFO 29407 --- [erSimpleAppMain] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 2018-08-03 21:32:26.004  INFO 29407 --- [erSimpleAppMain] o.s.ui.freemarker.SpringTemplateLoader   : SpringTemplateLoader for FreeMarker: using resource loader [org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5e9f0207: startup date [Fri Aug 03 21:32:22 CST 2018]; root of context hierarchy] and template loader path [classpath:/templates/]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 2018-08-03 21:32:26.005  INFO 29407 --- [erSimpleAppMain] o.s.w.s.v.f.FreeMarkerConfigurer         : ClassTemplateLoader for Spring macros added to FreeMarker configuration
INFO   | jvm 1    | 2018/08/03 21:32:26 | 2018-08-03 21:32:26.084  INFO 29407 --- [erSimpleAppMain] o.s.j.e.a.AnnotationMBeanExporter        : Registering beans for JMX exposure on startup
INFO   | jvm 1    | 2018/08/03 21:32:26 | 2018-08-03 21:32:26.157 ERROR 29407 --- [erSimpleAppMain] o.a.coyote.http11.Http11NioProtocol      : Failed to start end point associated with ProtocolHandler ["http-nio-80"]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 
INFO   | jvm 1    | 2018/08/03 21:32:26 | java.net.BindException: 地址已在使用
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.nio.ch.Net.bind0(Native Method) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.nio.ch.Net.bind(Net.java:437) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.nio.ch.Net.bind(Net.java:429) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.nio.ch.ServerSocketChannelImpl.bind(ServerSocketChannelImpl.java:223) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.nio.ch.ServerSocketAdaptor.bind(ServerSocketAdaptor.java:74) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.apache.tomcat.util.net.NioEndpoint.bind(NioEndpoint.java:340) ~[tomcat-embed-core-8.0.32.jar:8.0.32]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.apache.tomcat.util.net.AbstractEndpoint.start(AbstractEndpoint.java:765) ~[tomcat-embed-core-8.0.32.jar:8.0.32]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.apache.coyote.AbstractProtocol.start(AbstractProtocol.java:473) ~[tomcat-embed-core-8.0.32.jar:8.0.32]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.apache.catalina.connector.Connector.startInternal(Connector.java:986) [tomcat-embed-core-8.0.32.jar:8.0.32]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:147) [tomcat-embed-core-8.0.32.jar:8.0.32]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.apache.catalina.core.StandardService.addConnector(StandardService.java:239) [tomcat-embed-core-8.0.32.jar:8.0.32]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer.addPreviouslyRemovedConnectors(TomcatEmbeddedServletContainer.java:194) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer.start(TomcatEmbeddedServletContainer.java:151) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.context.embedded.EmbeddedWebApplicationContext.startEmbeddedServletContainer(EmbeddedWebApplicationContext.java:293) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.context.embedded.EmbeddedWebApplicationContext.finishRefresh(EmbeddedWebApplicationContext.java:141) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:541) [spring-context-4.2.5.RELEASE.jar:4.2.5.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.context.embedded.EmbeddedWebApplicationContext.refresh(EmbeddedWebApplicationContext.java:118) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:766) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.SpringApplication.createAndRefreshContext(SpringApplication.java:361) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.SpringApplication.run(SpringApplication.java:307) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1191) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1180) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at com.xinwei.example.ExampleStartApplication.main(ExampleStartApplication.java:12) [xinwei-wrapper-example-1.0-SNAPSHOT.jar:na]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at java.lang.reflect.Method.invoke(Method.java:497) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:325) [wrapper.jar:3.5.28]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at java.lang.Thread.run(Thread.java:745) [na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 
INFO   | jvm 1    | 2018/08/03 21:32:26 | 2018-08-03 21:32:26.159 ERROR 29407 --- [erSimpleAppMain] o.apache.catalina.core.StandardService   : Failed to start connector [Connector[HTTP/1.1-80]]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 
INFO   | jvm 1    | 2018/08/03 21:32:26 | org.apache.catalina.LifecycleException: Failed to start component [Connector[HTTP/1.1-80]]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:153) ~[tomcat-embed-core-8.0.32.jar:8.0.32]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.apache.catalina.core.StandardService.addConnector(StandardService.java:239) ~[tomcat-embed-core-8.0.32.jar:8.0.32]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer.addPreviouslyRemovedConnectors(TomcatEmbeddedServletContainer.java:194) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer.start(TomcatEmbeddedServletContainer.java:151) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.context.embedded.EmbeddedWebApplicationContext.startEmbeddedServletContainer(EmbeddedWebApplicationContext.java:293) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.context.embedded.EmbeddedWebApplicationContext.finishRefresh(EmbeddedWebApplicationContext.java:141) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:541) [spring-context-4.2.5.RELEASE.jar:4.2.5.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.context.embedded.EmbeddedWebApplicationContext.refresh(EmbeddedWebApplicationContext.java:118) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:766) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.SpringApplication.createAndRefreshContext(SpringApplication.java:361) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.SpringApplication.run(SpringApplication.java:307) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1191) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1180) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at com.xinwei.example.ExampleStartApplication.main(ExampleStartApplication.java:12) [xinwei-wrapper-example-1.0-SNAPSHOT.jar:na]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at java.lang.reflect.Method.invoke(Method.java:497) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:325) [wrapper.jar:3.5.28]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at java.lang.Thread.run(Thread.java:745) [na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | Caused by: org.apache.catalina.LifecycleException: service.getName(): "Tomcat";  Protocol handler start failed
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.apache.catalina.connector.Connector.startInternal(Connector.java:993) ~[tomcat-embed-core-8.0.32.jar:8.0.32]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:147) ~[tomcat-embed-core-8.0.32.jar:8.0.32]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	... 19 common frames omitted
INFO   | jvm 1    | 2018/08/03 21:32:26 | Caused by: java.net.BindException: 地址已在使用
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.nio.ch.Net.bind0(Native Method) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.nio.ch.Net.bind(Net.java:437) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.nio.ch.Net.bind(Net.java:429) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.nio.ch.ServerSocketChannelImpl.bind(ServerSocketChannelImpl.java:223) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.nio.ch.ServerSocketAdaptor.bind(ServerSocketAdaptor.java:74) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.apache.tomcat.util.net.NioEndpoint.bind(NioEndpoint.java:340) ~[tomcat-embed-core-8.0.32.jar:8.0.32]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.apache.tomcat.util.net.AbstractEndpoint.start(AbstractEndpoint.java:765) ~[tomcat-embed-core-8.0.32.jar:8.0.32]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.apache.coyote.AbstractProtocol.start(AbstractProtocol.java:473) ~[tomcat-embed-core-8.0.32.jar:8.0.32]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.apache.catalina.connector.Connector.startInternal(Connector.java:986) ~[tomcat-embed-core-8.0.32.jar:8.0.32]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	... 20 common frames omitted
INFO   | jvm 1    | 2018/08/03 21:32:26 | 
INFO   | jvm 1    | 2018/08/03 21:32:26 | 2018-08-03 21:32:26.169  INFO 29407 --- [erSimpleAppMain] o.apache.catalina.core.StandardService   : Stopping service Tomcat
INFO   | jvm 1    | 2018/08/03 21:32:26 | 2018-08-03 21:32:26.191 ERROR 29407 --- [erSimpleAppMain] o.s.boot.SpringApplication               : Application startup failed
INFO   | jvm 1    | 2018/08/03 21:32:26 | 
INFO   | jvm 1    | 2018/08/03 21:32:26 | org.springframework.boot.context.embedded.EmbeddedServletContainerException: Unable to start embedded Tomcat servlet container
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer.start(TomcatEmbeddedServletContainer.java:165) ~[spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.context.embedded.EmbeddedWebApplicationContext.startEmbeddedServletContainer(EmbeddedWebApplicationContext.java:293) ~[spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.context.embedded.EmbeddedWebApplicationContext.finishRefresh(EmbeddedWebApplicationContext.java:141) ~[spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:541) ~[spring-context-4.2.5.RELEASE.jar:4.2.5.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.context.embedded.EmbeddedWebApplicationContext.refresh(EmbeddedWebApplicationContext.java:118) ~[spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:766) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.SpringApplication.createAndRefreshContext(SpringApplication.java:361) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.SpringApplication.run(SpringApplication.java:307) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1191) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.SpringApplication.run(SpringApplication.java:1180) [spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at com.xinwei.example.ExampleStartApplication.main(ExampleStartApplication.java:12) [xinwei-wrapper-example-1.0-SNAPSHOT.jar:na]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at java.lang.reflect.Method.invoke(Method.java:497) ~[na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:325) [wrapper.jar:3.5.28]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at java.lang.Thread.run(Thread.java:745) [na:1.8.0_45]
INFO   | jvm 1    | 2018/08/03 21:32:26 | Caused by: java.lang.IllegalStateException: Tomcat connector in failed state
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	at org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer.start(TomcatEmbeddedServletContainer.java:159) ~[spring-boot-1.3.3.RELEASE.jar:1.3.3.RELEASE]
INFO   | jvm 1    | 2018/08/03 21:32:26 | 	... 16 common frames omitted
INFO   | jvm 1    | 2018/08/03 21:32:26 | 
